DAM Result For 2024-06-04
Date;Hour;Price (BGN);Volume
2024-06-04;00:00:00;211,31;2257,9
2024-06-04;01:00:00;197,60;2247,1
2024-06-04;02:00:00;188,76;2176,6
2024-06-04;03:00:00;190,30;2155
2024-06-04;04:00:00;6,24;2189,7
2024-06-04;05:00:00;210,66;2372,1
2024-06-04;06:00:00;273,68;2240,1
2024-06-04;07:00:00;336,93;3197,8
2024-06-04;08:00:00;217,29;3341
2024-06-04;09:00:00;216,47;3447,4
2024-06-04;10:00:00;176,20;3522
2024-06-04;11:00:00;152,12;3389,6
2024-06-04;12:00:00;142,54;3318,2
2024-06-04;13:00:00;124,82;3041,8
2024-06-04;14:00:00;105,61;3006
2024-06-04;15:00:00;150,64;2832,5
2024-06-04;16:00:00;184,75;2545,6
2024-06-04;17:00:00;186,55;2306,3
2024-06-04;18:00:00;315,85;2230,3
2024-06-04;19:00:00;422,34;2253,9
2024-06-04;20:00:00;448,75;2319,2
2024-06-04;21:00:00;407,40;2299,4
2024-06-04;22:00:00;253,42;2730,5
2024-06-04;23:00:00;206,24;2491,2
